emotion,word,odds,freq
pride,accomplishment,3.58,0.004
realization,realize,13.87,0.005
realization,realized,12.12,0.003
realization,realised,7.16,0.001
realization,realization,6.01,0.001
realization,thought,5.37,0.006
realization,forgot,4.99,0.002
realization,was,4.93,0.019
realization,didn,4.92,0.006
realization,realizing,4.91,0.001
realization,reminds,4.79,0.001
realization,noticed,4.56,0.001
realization,realise,4.21,0.001
realization,aware,3.79,0.001
realization,brazzers,3.48,0.000
realization,olden,3.48,0.000
realization,wired,3.46,0.000
realization,until,3.37,0.002
realization,colonizes,3.30,0.000
realization,figured,3.26,0.001
realization,trimming,3.11,0.000
realization,husky,3.11,0.000
realization,vacuums,3.11,0.000
relief,glad,4.45,0.025
relief,relieving,4.07,0.002
relief,relieved,3.95,0.003
relief,relief,3.92,0.004
remorse,sorry,37.65,0.076
remorse,regret,8.80,0.005
remorse,apologies,6.71,0.003
remorse,apologize,5.81,0.002
remorse,guilt,4.45,0.001
remorse,guilty,3.92,0.001
remorse,loss,3.73,0.003
remorse,regretting,3.19,0.000
remorse,remorse,3.16,0.000
sadness,sad,30.33,0.016
sadness,sadly,15.25,0.004
sadness,sorry,15.10,0.014
sadness,painful,9.70,0.002
sadness,hurts,9.21,0.002
sadness,crying,8.93,0.003
sadness,miss,8.24,0.003
sadness,heartbreaking,6.92,0.001
sadness,cry,6.77,0.002
sadness,loss,6.65,0.002
sadness,saddest,6.58,0.001
sadness,sadness,6.29,0.001
sadness,feel,6.28,0.007
sadness,poor,6.26,0.003
sadness,bad,5.82,0.007
sadness,pain,5.63,0.002
sadness,lonely,5.60,0.001
sadness,hurting,4.65,0.001
sadness,hurt,4.33,0.002
sadness,stressful,3.90,0.000
sadness,unfortunately,3.87,0.001
sadness,cried,3.86,0.001
sadness,tears,3.85,0.001
sadness,heartbroken,3.79,0.000
sadness,sick,3.73,0.001
sadness,painfully,3.63,0.000
sadness,lost,3.61,0.002
sadness,hard,3.50,0.003
sadness,shinys,3.47,0.000
sadness,fuzzy,3.47,0.000
sadness,womp,3.47,0.000
sadness,deprived,3.47,0.000
sadness,depressing,3.45,0.001
sadness,pathetic,3.24,0.001
sadness,heartwarming,3.11,0.000
sadness,soulmates,3.10,0.000
sadness,teared,3.10,0.000
sadness,broke,3.09,0.001
sadness,suffering,3.04,0.000
sadness,disheartening,3.01,0.000
surprise,wow,21.40,0.019
surprise,surprised,21.16,0.011
surprise,wonder,14.38,0.007
surprise,shocked,12.20,0.003
surprise,omg,10.45,0.006
surprise,wondering,8.84,0.003
surprise,surprise,8.43,0.003
surprise,surprising,6.24,0.001
surprise,believe,5.99,0.005
surprise,wondered,5.99,0.001
surprise,shocking,5.88,0.001
surprise,unexpected,5.71,0.001
surprise,surprisingly,5.49,0.001
surprise,shockingly,5.37,0.001
surprise,ohhhhh,4.69,0.001
surprise,pleasantly,4.68,0.000
surprise,unbelievable,4.30,0.001
surprise,suprised,3.95,0.000
surprise,amazed,3.76,0.001
surprise,didn,3.74,0.006
surprise,surprises,3.73,0.000
surprise,woah,3.71,0.001
surprise,holy,3.62,0.002
surprise,lille,3.49,0.000
surprise,amaze,3.39,0.000
surprise,shocks,3.32,0.000
surprise,shock,3.30,0.001
surprise,was,3.19,0.017
surprise,nobel,3.14,0.000
surprise,verb,3.14,0.000
surprise,amazes,3.14,0.000
surprise,tiki,3.12,0.000
surprise,strange,3.07,0.001
surprise,god,3.01,0.002
neutral,name,19.15,0.023
neutral,they,16.21,0.011
neutral,the,9.39,0.046
neutral,remindme,7.52,0.000
neutral,his,7.42,0.004
neutral,she,7.11,0.005
neutral,only,6.25,0.003
neutral,from,5.87,0.004
neutral,there,5.84,0.005
neutral,wall,5.31,0.000
neutral,left,5.28,0.001
neutral,their,5.24,0.003
neutral,needs,4.97,0.001
neutral,then,4.85,0.002
neutral,rather,4.83,0.000
neutral,who,4.80,0.003
neutral,after,4.76,0.002
neutral,according,4.74,0.000
neutral,hundred,4.70,0.000
neutral,political,4.68,0.000
neutral,hello,4.65,0.000
neutral,should,4.58,0.002
neutral,her,4.56,0.004
neutral,said,4.55,0.001
neutral,money,4.51,0.001
neutral,apparently,4.43,0.000
neutral,socialism,4.43,0.000
neutral,weaker,4.37,0.000
neutral,mavs,4.37,0.000
neutral,let,4.34,0.001
neutral,and,4.33,0.022
neutral,other,4.30,0.002
neutral,send,4.27,0.000
neutral,sees,4.26,0.000
neutral,off,4.26,0.002
neutral,activists,4.25,0.000
neutral,says,4.21,0.000
neutral,likely,4.20,0.000
neutral,were,4.18,0.002
neutral,treason,4.14,0.000
neutral,owns,4.10,0.000
neutral,probably,4.10,0.001
neutral,wants,4.09,0.000
neutral,first,4.05,0.002
neutral,leave,4.04,0.001
neutral,police,4.01,0.000
neutral,knows,3.99,0.000
neutral,hagar,3.95,0.000
neutral,saying,3.94,0.001
neutral,cross,3.93,0.000
neutral,mean,3.93,0.001
neutral,branch,3.91,0.000
neutral,door,3.89,0.000
neutral,normie,3.87,0.000
neutral,blah,3.87,0.000
neutral,script,3.85,0.000
neutral,him,3.83,0.003
neutral,theories,3.82,0.000
neutral,etc,3.80,0.000
neutral,ask,3.80,0.001
neutral,bag,3.77,0.000
neutral,pin,3.75,0.000
neutral,windshield,3.75,0.000
neutral,depends,3.70,0.000
neutral,sammy,3.70,0.000
neutral,aids,3.67,0.000
neutral,tendencies,3.62,0.000
neutral,reason,3.61,0.001
neutral,rare,3.60,0.000
neutral,called,3.60,0.000
neutral,pulled,3.59,0.000
neutral,under,3.58,0.000
neutral,few,3.56,0.001
neutral,demonstrate,3.55,0.000
neutral,has,3.53,0.003
neutral,forums,3.53,0.000
neutral,guaranteed,3.53,0.000
neutral,various,3.52,0.000
neutral,not,3.51,0.010
neutral,major,3.51,0.000
neutral,basically,3.50,0.000
neutral,burns,3.45,0.000
neutral,prevent,3.45,0.000
neutral,hash,3.44,0.000
neutral,reserved,3.44,0.000
neutral,relic,3.44,0.000
neutral,back,3.37,0.002
neutral,beating,3.36,0.000
neutral,present,3.35,0.000
neutral,distribution,3.35,0.000
neutral,calm,3.34,0.000
neutral,report,3.34,0.000
neutral,down,3.33,0.001
neutral,matter,3.33,0.000
neutral,syrian,3.31,0.000
neutral,cave,3.31,0.000
neutral,tax,3.30,0.000
neutral,mafia,3.30,0.000
neutral,filming,3.30,0.000
neutral,tbf,3.29,0.000
neutral,married,3.29,0.000
neutral,extreme,3.29,0.000
neutral,evolution,3.29,0.000
neutral,invite,3.29,0.000
neutral,instead,3.28,0.000
neutral,days,3.27,0.001
neutral,including,3.27,0.000
neutral,screenshot,3.26,0.000
neutral,way,3.26,0.002
neutral,hacks,3.25,0.000
neutral,bribe,3.25,0.000
neutral,pastor,3.25,0.000
neutral,announcement,3.25,0.000
neutral,whale,3.25,0.000
neutral,which,3.23,0.001
neutral,gender,3.23,0.000
neutral,rudy,3.22,0.000
neutral,tea,3.21,0.000
neutral,rick,3.21,0.000
neutral,systems,3.21,0.000
neutral,commie,3.20,0.000
neutral,meanwhile,3.20,0.000
neutral,net,3.19,0.000
neutral,fyi,3.17,0.000
neutral,links,3.17,0.000
neutral,websites,3.17,0.000
neutral,dodgy,3.17,0.000
neutral,leaving,3.17,0.000
neutral,note,3.16,0.000
neutral,billion,3.16,0.000
neutral,shattered,3.16,0.000
neutral,acknowledging,3.16,0.000
neutral,manhattan,3.16,0.000
neutral,feb,3.16,0.000
neutral,thesaurus,3.16,0.000
neutral,fedora,3.16,0.000
neutral,har,3.16,0.000
neutral,lobby,3.16,0.000
neutral,rounder,3.15,0.000
neutral,mac,3.15,0.000
neutral,edge,3.14,0.000
neutral,bitcoin,3.14,0.000
neutral,nobody,3.14,0.000
neutral,opponent,3.13,0.000
neutral,gimme,3.13,0.000
neutral,pew,3.13,0.000
neutral,guy,3.12,0.001
neutral,claimed,3.12,0.000
neutral,agenda,3.12,0.000
neutral,cases,3.10,0.000
neutral,orange,3.09,0.000
neutral,cap,3.09,0.000
neutral,doesn,3.09,0.002
neutral,whooh,3.06,0.000
neutral,windy,3.06,0.000
neutral,14th,3.06,0.000
neutral,mortal,3.06,0.000
neutral,avocado,3.06,0.000
neutral,gagging,3.06,0.000
neutral,bantz,3.06,0.000
neutral,requested,3.06,0.000
neutral,paparazzi,3.06,0.000
neutral,prude,3.06,0.000
neutral,clicks,3.06,0.000
neutral,rental,3.06,0.000
neutral,irony,3.05,0.000
neutral,glue,3.04,0.000
neutral,electrical,3.04,0.000
neutral,stock,3.03,0.000
neutral,correlation,3.03,0.000
neutral,hiv,3.03,0.000
neutral,somebody,3.02,0.000
neutral,slow,3.01,0.000
neutral,religion,3.01,0.000
